filepath,emotion
features/mel_specs/03-01-01-01-01-01-01.png,neutral
features/mel_specs/03-01-01-01-01-02-01.png,neutral
features/mel_specs/03-01-01-01-02-01-01.png,neutral
features/mel_specs/03-01-01-01-02-02-01.png,neutral
features/mel_specs/03-01-02-01-01-01-01.png,calm
features/mel_specs/03-01-02-01-01-02-01.png,calm
features/mel_specs/03-01-02-01-02-01-01.png,calm
features/mel_specs/03-01-02-01-02-02-01.png,calm
features/mel_specs/03-01-02-02-01-01-01.png,calm
features/mel_specs/03-01-02-02-01-02-01.png,calm
features/mel_specs/03-01-02-02-02-01-01.png,calm
features/mel_specs/03-01-02-02-02-02-01.png,calm
features/mel_specs/03-01-03-01-01-01-01.png,happy
features/mel_specs/03-01-03-01-01-02-01.png,happy
features/mel_specs/03-01-03-01-02-01-01.png,happy
features/mel_specs/03-01-03-01-02-02-01.png,happy
features/mel_specs/03-01-03-02-01-01-01.png,happy
features/mel_specs/03-01-03-02-01-02-01.png,happy
features/mel_specs/03-01-03-02-02-01-01.png,happy
features/mel_specs/03-01-03-02-02-02-01.png,happy
features/mel_specs/03-01-04-01-01-01-01.png,sad
features/mel_specs/03-01-04-01-01-02-01.png,sad
features/mel_specs/03-01-04-01-02-01-01.png,sad
features/mel_specs/03-01-04-01-02-02-01.png,sad
features/mel_specs/03-01-04-02-01-01-01.png,sad
features/mel_specs/03-01-04-02-01-02-01.png,sad
features/mel_specs/03-01-04-02-02-01-01.png,sad
features/mel_specs/03-01-04-02-02-02-01.png,sad
features/mel_specs/03-01-05-01-01-01-01.png,angry
features/mel_specs/03-01-05-01-01-02-01.png,angry
features/mel_specs/03-01-05-01-02-01-01.png,angry
features/mel_specs/03-01-05-01-02-02-01.png,angry
features/mel_specs/03-01-05-02-01-01-01.png,angry
features/mel_specs/03-01-05-02-01-02-01.png,angry
features/mel_specs/03-01-05-02-02-01-01.png,angry
features/mel_specs/03-01-05-02-02-02-01.png,angry
features/mel_specs/03-01-06-01-01-01-01.png,fear
features/mel_specs/03-01-06-01-01-02-01.png,fear
features/mel_specs/03-01-06-01-02-01-01.png,fear
features/mel_specs/03-01-06-01-02-02-01.png,fear
features/mel_specs/03-01-06-02-01-01-01.png,fear
features/mel_specs/03-01-06-02-01-02-01.png,fear
features/mel_specs/03-01-06-02-02-01-01.png,fear
features/mel_specs/03-01-06-02-02-02-01.png,fear
features/mel_specs/03-01-07-01-01-01-01.png,disgust
features/mel_specs/03-01-07-01-01-02-01.png,disgust
features/mel_specs/03-01-07-01-02-01-01.png,disgust
features/mel_specs/03-01-07-01-02-02-01.png,disgust
